RegionID,Week,Inventory_Sales_Count
394902,11/30/2010,1122
394902,12/31/2010,1194
394902,1/31/2011,829
394902,2/28/2011,900
394902,3/31/2011,1198
394902,4/30/2011,1242
394902,5/31/2011,1527
394902,6/30/2011,1702
394902,7/31/2011,1545
394902,8/31/2011,1690
394902,9/30/2011,1457
394902,10/31/2011,1276
394902,11/30/2011,1326
394902,12/31/2011,1374
394902,1/31/2012,1032
394902,2/29/2012,1128
394902,3/31/2012,1436
394902,4/30/2012,1653
394902,5/31/2012,1992
394902,6/30/2012,2056
394902,7/31/2012,2185
394902,8/31/2012,2239
394902,9/30/2012,1710
394902,10/31/2012,1933
394902,11/30/2012,1723
394902,12/31/2012,1702
394902,1/31/2013,1360
394902,2/28/2013,1329
394902,3/31/2013,1809
394902,4/30/2013,2375
394902,5/31/2013,2652
394902,6/30/2013,2755
394902,7/31/2013,3056
394902,8/31/2013,2712
394902,9/30/2013,2349
394902,10/31/2013,2453
394902,11/30/2013,2050
394902,12/31/2013,2139
394902,1/31/2014,1555
394902,2/28/2014,1603
394902,3/31/2014,2106
394902,4/30/2014,2528
394902,5/31/2014,2796
394902,6/30/2014,3067
394902,7/31/2014,3209
394902,8/31/2014,2969
394902,9/30/2014,2930
394902,10/31/2014,2794
394902,11/30/2014,2262
394902,12/31/2014,2537
394902,1/31/2015,1689
394902,2/28/2015,1627
394902,3/31/2015,2608
394902,4/30/2015,2584
394902,5/31/2015,3141
394902,6/30/2015,3784
394902,7/31/2015,3648
394902,8/31/2015,3383
394902,9/30/2015,3296
394902,10/31/2015,2982
394902,11/30/2015,2167
394902,12/31/2015,2760
394902,1/31/2016,1913
394902,2/29/2016,2077
394902,3/31/2016,2753
394902,4/30/2016,3006
394902,5/31/2016,3402
394902,6/30/2016,3762
394902,7/31/2016,3337
394902,8/31/2016,3705
394902,9/30/2016,3231
394902,10/31/2016,3067
394902,11/30/2016,2759
394902,12/31/2016,2906
394902,1/31/2017,2114
394902,2/28/2017,2083
394902,3/31/2017,2967
394902,4/30/2017,2802
394902,5/31/2017,3499
394902,6/30/2017,3717
394902,7/31/2017,3330
394902,8/31/2017,3641
394902,9/30/2017,2991
394902,10/31/2017,3096
394902,11/30/2017,2697
394902,12/31/2017,2727
394902,1/31/2018,2084
394902,2/28/2018,1945
394902,3/31/2018,2761
394902,4/30/2018,3105
394902,5/31/2018,3441
394902,6/30/2018,3503
394902,7/31/2018,3353
394902,8/31/2018,3554
394902,9/30/2018,2815
394902,10/31/2018,2913
394902,11/30/2018,2545
394902,12/31/2018,2381
394902,1/31/2019,2121
394902,2/28/2019,2148
394902,3/31/2019,2769
394902,4/30/2019,3101
394902,5/31/2019,3813
394902,6/30/2019,3654
394902,7/31/2019,3898
394902,8/31/2019,3622
394902,9/30/2019,3200
394902,10/31/2019,3349
394902,11/30/2019,2857
394902,12/31/2019,2863
394902,1/31/2020,2245
394902,2/29/2020,2404
394902,3/31/2020,3106
394902,4/30/2020,2734
394902,5/31/2020,2612
394902,6/30/2020,3835
394902,7/31/2020,4170
394902,8/31/2020,4026
394902,9/30/2020,4024
394902,10/31/2020,3743
394902,11/30/2020,3290
394902,12/31/2020,3794
394902,1/31/2021,2550
394902,2/28/2021,2319
394902,3/31/2021,3555
394902,4/30/2021,3648
394902,5/31/2021,3833
394902,6/30/2021,4441
394902,7/31/2021,4107
394902,8/31/2021,3971
394902,9/30/2021,3567
394902,10/31/2021,3073
394902,11/30/2021,3130
394902,12/31/2021,3501
394902,1/31/2022,2419
394902,2/28/2022,2321
394902,3/31/2022,3303
394902,4/30/2022,3253
394902,5/31/2022,3382
394902,6/30/2022,3700
394902,7/31/2022,3041
394902,8/31/2022,2859
394902,9/30/2022,2377
